chapter	ordinal	label	exercise_sha256	hint_sha256	solution_sha256	status
IV/03	19	exr:iv03-expand-11	27453c91a11531d0f8832dd1ed26f53ad85d21c7a24f001ae587c4e974410eef	896a9e33b0245e6ff6ac402ff03cf7b3fd537428f04c00859a7fe42b1949cf18	7173d1e94a015862a3459cd10de1ca97aecda8f2dcd20984d3d6abb374d3c255	PASS
IV/03	20	exr:iv03-expand-12	0ad84b49f47961eba0bb8de1db5cbd95f66d90802494801f2163af1d5ac7cf3e	20e902e4ba93874a594547a550b4e8fe8c2c35fe364bf9c8f841b0c914b613e0	bcf432e829a4d4eaeb6c5f5fe4b2f4881820939453fbdc995d9d500f88a6fb1f	PASS
IV/03	21	exr:iv03-expand-13	b20d325d83a429ffefb64414833a7902c914a0871250f69fbd8e7d3dc4d13051	6684092484c7dab5170e52c747fb2505f32bc7e388c66e8f21aba066dfd18705	d8b98067e4e0b61c1624fa827ff301da7d32cbe74c8e58b7da062685f8cbc239	PASS
IV/03	22	exr:iv03-expand-14	f749d39d9e3b35105c8e64ff8a64a12afe7f1d8cbf73d3d55b60a9471381a55f	64bd537baa4005891e8946f075a227a0add55fa675c291e9a05096795d8232b1	143f931d76445e5c4687673b10185005437c7b18ca663704e83693fd90e62043	PASS
IV/03	23	exr:iv03-expand-15	f75a7abdfbfa91c405e92a011ddede81ffeadc264f47ee09a7b7581ffbd32a51	514c9f5114470a3d02f0687cd54dbe7fde0daa0ed31bcf1d64d99b0c71624aa4	74cef2c478d39fed030ae0d0c534866f03d76318eea1c0c9c054967b15bb3fc9	PASS
IV/03	24	exr:iv03-expand-16	be59eed89542637c5ac0cad8df6630de8c8be10898c485bf607ab24591be673d	4a94a80e8e7aa88f673a15ac6107ca3af265dfaa042f2a788a4911240fa915a3	574857d7175dc0d8df62752c321f9fb2d4b5fc29e8c2345fdbd74a37960dc5fc	PASS
IV/04	1	exr:iv04-01	472d188f0c781b6bf304f36db3000d3136c87f1c0f6f011ad78c3e9fcbc78bfc	fd859282acb2650a14c25d0b56d59f112112bc537141bde8bac4847355022eba	b956a70afdca3fdb2170a00708ea012cc7a2f721594d7321ac1586c32a3b509d	PASS
IV/04	2	exr:iv04-02	15dd6c1545ac83f4b4af722ce38774b5423aa27705b3761291f93c77a6ee8656	fd1bc3b5056ce13e9f3e20f216153a28f26531cf89224c3f30596315cdd5431b	1a41c4a619285c4892f1debac20c08a09a7dc5d744cd98b58be944dfb0a7ac98	PASS
IV/04	3	exr:iv04-03	1c69f4bb4cb2ea74e7f27f6ee06405fc4b09c3e57c9b0088fcca67ee4d1ff291	2790353993aeb27187c50e581cd9b75b2611896e4e8a593116d5973635d7b54c	59155153eb6fa5f90cc750bd8503e7809aaeb81058e060eecee9f58790bb332f	PASS
IV/04	4	exr:iv04-04	a74d2784cdc7c8dcb656fed8aea80714a0e056b84d4b7e5ff29d5192db5394b7	e8d852f6509f9d283e5ce4d088d158b509208b9f5a7efd40d895154e6bd049f4	50c5cbde658b1e431bf25e6cc4db0af73643ffc2640396b9af53ac260a4445d9	PASS
